,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,위경도
13,어린이집,동해어린이집,부산광역시 해운대구 송정2로 67,부산광역시 해운대구 송정동 84-4,35.194419,129.2068977,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,6~6.5,2022-03-21,35.194419129.2068977
14,어린이집,롯데크로바어린이집,부산광역시 해운대구 해운대로483번길 10,부산광역시 해운대구 우동 938,35.16344479,129.1476198,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,4.5~6.5,2022-03-21,35.16344479129.1476198
15,유치원,마리나유치원,부산광역시 해운대구 해운대해변로 139,부산광역시 해운대구 우동 1388-5,35.15963575,129.1475636,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,10,2022-03-21,35.15963575129.1475636
16,초등학교,무정초교,부산광역시 해운대구 반여로 68-11,부산광역시 해운대구 반여동 1651,35.19815569,129.1237797,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,5~17,2022-03-21,35.19815569129.1237797
17,초등학교,반산초교,부산광역시 해운대구 재반로 171,부산광역시 해운대구 재송동 1033-1,35.19344259,129.1296332,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,6~11,2022-03-21,35.19344259129.1296332
19,초등학교,반석초교,부산광역시 해운대구 선수촌로207번길 14,부산광역시 해운대구 반여동 757-1,35.211403,129.1249812,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,5~13,2022-03-21,35.211403129.1249812
20,어린이집,반송1동어린이집,부산광역시 해운대구 반송순환로 129,부산광역시 해운대구 반송동 250-2831,35.2225022,129.1528783,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,10,2022-03-21,35.2225022129.1528783
21,초등학교,반송초교,부산광역시 해운대구 아랫반송로30번길 37-16,부산광역시 해운대구 반송동 250-8,35.22358136,129.1475257,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3.0,4~10,2022-03-21,35.22358136129.1475257
22,초등학교,반안초교,부산광역시 해운대구 명장로67번길 40-42,부산광역시 해운대구 반여동 1164-6,35.20296503,129.113229,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,6~12,2022-03-21,35.20296503129.113229
23,어린이집,반여3동어린이집,부산광역시 해운대구 재반로256번길 13-61,부산광역시 해운대구 반여동 1601-1,35.20087223,129.1322601,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,5~6,2022-03-21,35.20087223129.1322601
24,초등학교,반여초교,부산광역시 해운대구 재반로 301,부산광역시 해운대구 반여동 1600-12,35.202761,129.129468,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,12,2022-03-21,35.202761129.129468
26,어린이집,백조어린이집,부산광역시 해운대구 우동1로85번길 16,부산광역시 해운대구 우동 379-2,35.168481,129.155576,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,5~10,2022-03-21,35.168481129.155576
27,유치원,버드내유치원,부산광역시 해운대구 우동2로 40-5,부산광역시 해운대구 우동 404-4,35.16799293,129.158474,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,7~14,2022-03-21,35.16799293129.158474
28,외국인학교,부산외국인학교,부산광역시 해운대구 대천로67번길 45,부산광역시 해운대구 좌동 1366-3,35.17370749,129.1649831732,부산광역시 해운대구,부산광역시 해운대경찰서,N,,7~12.5,2022-03-21,35.17370749129.1649831732
29,초등학교,부흥초교,부산광역시 해운대구 좌동순환로 216,부산광역시 해운대구 좌동 1303,35.17578498,129.1781921,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,7.5~13.5,2022-03-21,35.17578498129.1781921
30,유치원,쁘띠포레유치원,부산광역시 해운대구 양운로 182,부산광역시 해운대구 좌동 1394,35.17870863,129.1699419,부산광역시 해운대구,부산광역시 해운대경찰서,N,,20,2022-03-21,35.17870863129.1699419
31,초등학교,삼어초교,부산광역시 해운대구 삼어로91번길 73,부산광역시 해운대구 반여동 1138,35.2086973,129.1158546,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,5~12,2022-03-21,35.2086973129.1158546
32,초등학교,상당초교,부산광역시 해운대구 세실로 173,부산광역시 해운대구 좌동 1405,35.179695,129.1760294,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3.0,12~12.5,2022-03-21,35.179695129.1760294
33,유치원,서광자연유치원,부산광역시 해운대구 달맞이길117번라길 16,부산광역시 해운대구 중동 1494-9,35.15926763,129.1798671,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3.0,5~8.9,2022-03-21,35.15926763129.1798671
34,어린이집,세나어린이집,부산광역시 해운대구 윗반송로51번길 34,부산광역시 해운대구 반송동 216-10,35.22983963,129.1553873,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,4~11,2022-03-21,35.22983963129.1553873
35,어린이집,세종어린이집,부산광역시 해운대구 달맞이길117번라길 86,부산광역시 해운대구 중동 1484-13,35.161753,129.182313,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,6,2022-03-21,35.161753129.182313
36,유치원,센텀유치원,부산광역시 해운대구 센텀중앙로 142,부산광역시 해운대구 재송동 1197,35.17950161,129.1232765,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,12.3~29.5,2022-03-21,35.17950161129.1232765
37,초등학교,센텀초교,부산광역시 해운대구 센텀중앙로 166,부산광역시 해운대구 재송동 1198,35.18114187,129.1219407,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,12.3~29.5,2022-03-21,35.18114187129.1219407
38,유치원,센텀향도,부산광역시 해운대구 해운대로61번길 107-22,부산광역시 해운대구 반여동 1291-833,35.19518162,129.1303175,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,,2022-03-21,35.19518162129.1303175
39,초등학교,송수초교,부산광역시 해운대구 해운대로76번길 35,부산광역시 해운대구 재송동 935-1,35.189832,129.119287,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,7~9,2022-03-21,35.189832129.119287
40,유치원,송수초교 병설유치원,부산광역시 해운대구 해운대로76번길 35,부산광역시 해운대구 재송동 935-1,35.189826,129.119229,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,7~9,2022-03-21,35.189826129.119229
